,neighbourhood
I Centro Storico,14869
Sydney,8074
Copacabana,7708
Cuauhtemoc,7623
Buttes-Montmartre,7235
Beyoglu,6673
Popincourt,6204
Vaugirard,4815
Waverley,4737
Enclos-St-Laurent,4622
Batignolles-Monceau,4327
Menilmontant,3757
Buttes-Chaumont,3728
Sisli,3522
Fatih,3325
Ward 115,3293
Miguel Hidalgo,3287
Passy,3213
Opera,3153
Benito Juarez,3132
Randwick,3045
Yau Tsim Mong,3038
Temple,2943
Williamsburg,2731
Barra da Tijuca,2723
Bedford-Stuyvesant,2711
Reuilly,2652
Ipanema,2572
Ward 54,2552
Observatoire,2482
Vadhana,2454
Khlong Toei,2376
Gobelins,2278
Kadikoy,2260
Bourse,2186
Pantheon,2135
VII San Giovanni/Cinecitta,2079
Luxembourg,1996
II Parioli/Nomentano,1991
Hotel-de-Ville,1972
Harlem,1972
Palais-Bourbon,1764
Elysee,1761
Warringah,1705
XIII Aurelia,1697
Bushwick,1678
Coyoacan,1675
Besiktas,1632
Manly,1631
Hell's Kitchen,1503
Huai Khwang,1500
Upper West Side,1454
Midtown,1444
Wan Chai,1438
Louvre,1405
Woollahra,1382
Ratchathewi,1371
Upper East Side,1342
Jacarepagua,1335
XII Monte Verde,1322
East Village,1313
Ward 77,1227
Botafogo,1222
North Sydney,1188
Recreio dos Bandeirantes,1179
Leblon,1165
Pittwater,1165
Crown Heights,1127
Marrickville,1111
V Prenestino/Centocelle,1087
Bang Rak,1079
Ward 23,1056
Ward 74,981
Alvaro Obregon,976
Ward 64,944
Central & Western,930
Santa Teresa,882
Sathon,880
Chelsea,871
Rockdale,855
Tlalpan,841
Ward 61,824
Leichhardt,817
Greenpoint,807
VIII Appia Antica,804
Phra Nakhon,802
Centro,771
East Harlem,728
Uskudar,727
Esenyurt,720
Lower East Side,705
Phra Khanong,696
Astoria,663
Kagithane,662
Washington Heights,633
Chatu Chak,632
X Ostia/Acilia,631
Botany Bay,628
Ward 62,612
Flamengo,612
West Village,598
Ryde,594
Din Daeng,576
Bang Na,575
XIV Monte Mario,573
Parthum Wan,573
Ward 59,549
Parramatta,537
Phaya Thai,536
IV Tiburtina,532
XI Arvalia/Portuense,531
Ward 107,528
Cuajimalpa de Morelos,516
Financial District,512
Sutherland Shire,510
Leme,505
XV Cassia/Flaminia,501
Ward 57,498
Khlong San,494
Mosman,480
Willoughby,477
Ward 55,475
Tijuca,472
Suanluang,463
Venustiano Carranza,440
Flatbush,431
Laranjeiras,426
III Monte Sacro,426
Hornsby,425
Ward 69,420
Clinton Hill,419
Murray Hill,416
Atasehir,397
Kips Bay,391
Gustavo A. Madero,386
Maltepe,386
Canada Bay,383
East Flatbush,380
Ward 15,378
Auburn,377
Long Island City,376
Ward 58,373
